customer_id,store_id,first_name,last_name,email,address_id,active
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,1
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,1
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,1
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,1
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,1
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,1
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,1
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,1
11,2,LISA,ANDERSON,LISA.ANDERSON@sakilacustomer.org,15,1
12,1,NANCY,THOMAS,NANCY.THOMAS@sakilacustomer.org,16,1
13,2,KAREN,JACKSON,KAREN.JACKSON@sakilacustomer.org,17,1
14,2,BETTY,WHITE,BETTY.WHITE@sakilacustomer.org,18,1
15,1,HELEN,HARRIS,HELEN.HARRIS@sakilacustomer.org,19,1
16,2,SANDRA,MARTIN,SANDRA.MARTIN@sakilacustomer.org,20,0
17,1,DONNA,THOMPSON,DONNA.THOMPSON@sakilacustomer.org,21,1
18,2,CAROL,GARCIA,CAROL.GARCIA@sakilacustomer.org,22,1
19,1,RUTH,MARTINEZ,RUTH.MARTINEZ@sakilacustomer.org,23,1
20,2,SHARON,ROBINSON,SHARON.ROBINSON@sakilacustomer.org,24,1
21,1,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,25,1
22,1,LAURA,RODRIGUEZ,LAURA.RODRIGUEZ@sakilacustomer.org,26,1
23,2,SARAH,LEWIS,SARAH.LEWIS@sakilacustomer.org,27,1
24,2,KIMBERLY,LEE,KIMBERLY.LEE@sakilacustomer.org,28,1
25,1,DEBORAH,WALKER,DEBORAH.WALKER@sakilacustomer.org,29,1
26,2,JESSICA,HALL,JESSICA.HALL@sakilacustomer.org,30,1
27,2,SHIRLEY,ALLEN,SHIRLEY.ALLEN@sakilacustomer.org,31,1
28,1,CYNTHIA,YOUNG,CYNTHIA.YOUNG@sakilacustomer.org,32,1
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,1
30,1,MELISSA,KING,MELISSA.KING@sakilacustomer.org,34,1
31,2,BRENDA,WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,35,1
32,1,AMY,LOPEZ,AMY.LOPEZ@sakilacustomer.org,36,1
33,2,ANNA,HILL,ANNA.HILL@sakilacustomer.org,37,1
34,2,REBECCA,SCOTT,REBECCA.SCOTT@sakilacustomer.org,38,1
35,2,VIRGINIA,GREEN,VIRGINIA.GREEN@sakilacustomer.org,39,1
36,2,KATHLEEN,ADAMS,KATHLEEN.ADAMS@sakilacustomer.org,40,1
37,1,PAMELA,BAKER,PAMELA.BAKER@sakilacustomer.org,41,1
38,1,MARTHA,GONZALEZ,MARTHA.GONZALEZ@sakilacustomer.org,42,1
39,1,DEBRA,NELSON,DEBRA.NELSON@sakilacustomer.org,43,1
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,1
41,1,STEPHANIE,MITCHELL,STEPHANIE.MITCHELL@sakilacustomer.org,45,1
42,2,CAROLYN,PEREZ,CAROLYN.PEREZ@sakilacustomer.org,46,1
43,2,CHRISTINE,ROBERTS,CHRISTINE.ROBERTS@sakilacustomer.org,47,1
44,1,MARIE,TURNER,MARIE.TURNER@sakilacustomer.org,48,1
45,1,JANET,PHILLIPS,JANET.PHILLIPS@sakilacustomer.org,49,1
46,2,CATHERINE,CAMPBELL,CATHERINE.CAMPBELL@sakilacustomer.org,50,1
47,1,FRANCES,PARKER,FRANCES.PARKER@sakilacustomer.org,51,1
48,1,ANN,EVANS,ANN.EVANS@sakilacustomer.org,52,1
49,2,JOYCE,EDWARDS,JOYCE.EDWARDS@sakilacustomer.org,53,1
50,1,DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,54,1
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,1
52,1,JULIE,SANCHEZ,JULIE.SANCHEZ@sakilacustomer.org,56,1
53,1,HEATHER,MORRIS,HEATHER.MORRIS@sakilacustomer.org,57,1
54,1,TERESA,ROGERS,TERESA.ROGERS@sakilacustomer.org,58,1
55,2,DORIS,REED,DORIS.REED@sakilacustomer.org,59,1
56,1,GLORIA,COOK,GLORIA.COOK@sakilacustomer.org,60,1
57,2,EVELYN,MORGAN,EVELYN.MORGAN@sakilacustomer.org,61,1
58,1,JEAN,BELL,JEAN.BELL@sakilacustomer.org,62,1
59,1,CHERYL,MURPHY,CHERYL.MURPHY@sakilacustomer.org,63,1
60,1,MILDRED,BAILEY,MILDRED.BAILEY@sakilacustomer.org,64,1
61,2,KATHERINE,RIVERA,KATHERINE.RIVERA@sakilacustomer.org,65,1
62,1,JOAN,COOPER,JOAN.COOPER@sakilacustomer.org,66,1
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,1
64,2,JUDITH,COX,JUDITH.COX@sakilacustomer.org,68,0
65,2,ROSE,HOWARD,ROSE.HOWARD@sakilacustomer.org,69,1
66,2,JANICE,WARD,JANICE.WARD@sakilacustomer.org,70,1
67,1,KELLY,TORRES,KELLY.TORRES@sakilacustomer.org,71,1
68,1,NICOLE,PETERSON,NICOLE.PETERSON@sakilacustomer.org,72,1
69,2,JUDY,GRAY,JUDY.GRAY@sakilacustomer.org,73,1
70,2,CHRISTINA,RAMIREZ,CHRISTINA.RAMIREZ@sakilacustomer.org,74,1
71,1,KATHY,JAMES,KATHY.JAMES@sakilacustomer.org,75,1
72,2,THERESA,WATSON,THERESA.WATSON@sakilacustomer.org,76,1
73,2,BEVERLY,BROOKS,BEVERLY.BROOKS@sakilacustomer.org,77,1
74,1,DENISE,KELLY,DENISE.KELLY@sakilacustomer.org,78,1
75,2,TAMMY,SANDERS,TAMMY.SANDERS@sakilacustomer.org,79,1
76,2,IRENE,PRICE,IRENE.PRICE@sakilacustomer.org,80,1
77,2,JANE,BENNETT,JANE.BENNETT@sakilacustomer.org,81,1
78,1,LORI,WOOD,LORI.WOOD@sakilacustomer.org,82,1
